gage,ll_lon,ll_lat,tr_lon,tr_lat
11185500,-118.6447804,35.85291002,-118.2094814,36.70063524
11189500,-118.3837318,35.72855491,-118.0035332,36.43784257
11202710,-118.7261896,36.08535869,-118.5279,36.32513152
11208000,-118.8185766,36.52011408,-118.6109061,36.67751641
11266500,-119.6758714,37.59374752,-119.2572782,37.90260095
11318500,-120.5744431,38.28989464,-120.1921208,38.39064787
11402000,-121.1576745,39.85547776,-120.6908227,40.04965917
