id,gages,epochs,hidden_dim,enc_num_heads,dec_num_heads,n_days_et,n_days_precip,n_days_temp,n_days_y,n_et,n_swe,architecture,dropout,dropout_concat,enc_dense_dim,end_time,gage,learning_rate,loss,opt,pooling,shuffle_train,start_time,swe_days_relative,test_pred_end_time,test_pred_start_time,tf_board_update_freq,train_end_time,train_start_time,use_masks,val_pred_end_time,val_pred_start_time,y_col,y_seq,dec_dense_dim,dec_embed_dim,dem_kernal,dem_strides,enc_embed_dim,et_kernal,et_strides,precip_kernal,precip_strides,swe_kernal,swe_strides,temp_kernal,temp_strides,cnn_activation,dem_ksize,et_ksize,final_dense_dim,kernal,one_day_pred,strides,swe_ksize,num_training_samples,sample_weight,sample_z_score,rmse_1day,rmse_avg,rmse_total,rrmse_avg,rrmse_total,mape_avg,mape_total,rrmse_1day,mape_1day,rmse_2day,rmse_3day,rmse_4day,rmse_5day,rmse_6day,rmse_7day,rmse_8day,rmse_9day,rmse_10day,rmse_11day,rmse_12day,rmse_13day,rmse_14day,rrmse_2day,rrmse_3day,rrmse_4day,rrmse_5day,rrmse_6day,rrmse_7day,rrmse_8day,rrmse_9day,rrmse_10day,rrmse_11day,rrmse_12day,rrmse_13day,rrmse_14day,mape_2day,mape_3day,mape_4day,mape_5day,mape_6day,mape_7day,mape_8day,mape_9day,mape_10day,mape_11day,mape_12day,mape_13day,mape_14day
64d1aaef-9804-415b-83d9-50f5afeb57f8,"['11402000', '11189500', '11318500', '11266500', '11202710']",5,24,4,4,8,1,21,14,1,12,ConvResizeGAPTransArchitecture,0.5,,48,2022-11-26 04:36:29,,0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,avg,True,2022-11-26 03:10:24,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]",2022-11-26 04:36:21,2022-11-26 04:33:11,100,2022-11-26 04:29:55,2022-11-26 03:10:29,True,2022-11-26 04:33:11,2022-11-26 04:29:55,m3,True,48,24,"(5, 5)","(1, 1)",24,"(4, 4)","(1, 1)","(2, 2)","(1, 1)","(5, 5)","(1, 1)","(2, 2)","(1, 1)",relu,"(138, 138)","(9, 9)",14,"(2, 2)",False,"(1, 1)","(35, 35)",,,,3.4571292656126693,3.6595294379975343,3.6668067317732214,0.722481964704557,0.7228283520614531,2.5467895030497116,2.546789503049711,0.7269736309532066,2.236579600597726,3.4454835789429232,3.3944944106843784,3.4732750835497113,3.4199220149631375,3.4837039882596166,3.501245337888692,3.6454580498893727,3.755315611270055,3.73726162304379,3.8780852166216713,3.9937727166957426,4.007469867764932,4.040795366778781,0.721563976267564,0.7287636892075502,0.7188923421026261,0.7190518356965834,0.7127144423757138,0.7144281303653754,0.7144460011828933,0.7192177116075668,0.7247624158442306,0.7235189099551851,0.7253610163293299,0.7310797232164792,0.7339736807594912,2.2127130556105676,2.235621807708094,2.2345110808185003,2.200114536953789,2.3171326182054117,2.354316957214896,2.731364186797512,2.8765228979227886,2.7634227267821334,2.8942551153790683,3.063443114938436,2.903478236734812,2.6315771070322236
f7beb79c-cef1-421c-882c-9c711b9d5210,"['11402000', '11189500', '11318500', '11266500', '11202710']",5,24,4,4,8,1,21,14,1,12,GAPTransMaxArchitecture,0.5,,48,2022-11-30 18:48:02,,0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,avg,True,2022-11-30 17:54:42,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]",2022-11-30 18:47:49,2022-11-30 18:46:06,100,2022-11-30 18:43:56,2022-11-30 17:55:26,True,2022-11-30 18:46:06,2022-11-30 18:44:28,m3,True,48,24,"(5, 5)","(1, 1)",24,"(4, 4)","(1, 1)","(2, 2)","(1, 1)","(5, 5)","(1, 1)","(2, 2)","(1, 1)",relu,,,,"(2, 2)",,"(1, 1)",,,,,3.0206901532696047,3.5229280926397224,3.5393988595712127,0.7456468667992292,0.7472324755592917,7.766996782748399,7.766996782748399,0.7053440119296343,4.1010050141879635,3.055462845829222,3.069620114199213,3.234955184593083,3.275295420984709,3.3619763915307925,3.455567128057227,3.6521397356504983,3.7766018896842155,3.744208327298283,3.822796473734439,4.020206425226727,3.9452682729087813,3.8862049339893097,0.7293729226271105,0.7439127982567936,0.7357666889945392,0.7490789854651406,0.7486137571697488,0.7509486001765312,0.747810417104352,0.7508597197017877,0.7535659172521191,0.7541765579629656,0.748349433293715,0.7604913813369306,0.7607649439178413,3.199447851293496,3.9275568605207227,4.492439547067686,6.413403200059668,5.386493383287506,8.027274048436825,9.903085607423053,12.171769039380573,10.263859680081408,10.671714346555593,13.494325956985373,9.354559059817928,7.331021363379789
a73304dc-e93f-4260-a916-b4c888a4a4a2,"['11402000', '11189500', '11318500', '11266500', '11202710']",5,24,4,4,8,1,21,14,1,12,GAPTransMaxArchitecture,0.5,,48,2022-11-26 15:40:57,,0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,avg,True,2022-11-26 14:14:16,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]",2022-11-26 15:40:45,2022-11-26 15:37:36,100,2022-11-26 15:34:17,2022-11-26 14:14:31,True,2022-11-26 15:37:36,2022-11-26 15:34:17,m3,True,48,24,"(5, 5)","(1, 1)",24,"(4, 4)","(1, 1)","(2, 2)","(1, 1)","(5, 5)","(1, 1)","(2, 2)","(1, 1)",relu,,,,"(2, 2)",,"(1, 1)",,,,,3.0453121629028903,3.3768017539947834,3.386391357511054,0.7566617006119278,0.7571468759806924,3.939484041223479,3.939484041223478,0.7258521539055754,2.700454362414415,3.074973997642106,3.0773509663278458,3.1354902724842257,3.1144507566816726,3.254085566304745,3.3124068526452546,3.402563565681519,3.5501301418177666,3.5314632667470534,3.6093024881852376,3.757061351300552,3.736484529821892,3.6741486373842056,0.7444254589616008,0.7553155739013713,0.7486101732666046,0.773953673399873,0.7609054540706467,0.7623662574911376,0.7584976131607256,0.7573452626692408,0.7623547760550687,0.759049268065248,0.7536666272859105,0.7640843227511601,0.7668371935828276,2.651080949011368,2.43465921749139,2.3934059409477517,2.3042207186870893,2.7379912204777006,2.8409427022708225,3.84134149343911,6.08846944961958,4.614356345730669,5.519289281744723,7.88155393108284,5.549745369393242,3.5952655948179926
aba4cc07-063f-435a-b1e1-4baf02ce8821,"['11402000', '11189500', '11318500', '11266500', '11202710']",5,24,4,4,8,1,21,14,1,12,GAPTransMaxArchitecture,0.5,,48,2022-12-05 02:54:58,,0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,avg,True,2022-12-05 02:02:38,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]",2022-12-05 02:54:46,2022-12-05 02:53:10,100,2022-12-05 02:51:34,2022-12-05 02:03:15,True,2022-12-05 02:53:10,2022-12-05 02:51:34,m3,True,48,24,"(5, 5)","(1, 1)",24,"(4, 4)","(1, 1)","(2, 2)","(1, 1)","(5, 5)","(1, 1)","(2, 2)","(1, 1)",relu,,,,"(2, 2)",,"(1, 1)",,,10,0.5,6.249916585606788,5.7574322648360825,5.763066462495504,0.7619750009465633,0.7624319386175895,23.063311792203365,23.063311792203375,0.763270270483785,28.074044072437694,5.9222311394689955,5.541457739116152,5.515684047397092,5.420600728012054,5.52444239934387,5.5268763991222505,5.603809041736136,5.615151944599072,5.713654694580392,5.846511003779403,5.966759038460534,6.146983879531288,6.009973066951132,0.7591925616852121,0.7498866325560053,0.7478743567105021,0.7522723928482477,0.7539152842900414,0.7571524348796318,0.7601253648335311,0.7616540092495805,0.7665371868937001,0.7708790321944468,0.7732776889308989,0.7790530955195968,0.7725597021767071,25.24213823050093,20.859671431828165,17.70849914022407,20.432859798618594,21.651979336362704,21.558529560608168,22.554822446700825,22.83752039214207,23.35527540343686,24.496329934561754,26.51337615921072,26.480331133037765,21.120988051176848
d58612c5-b8a5-44b1-b363-70825e011c50,"['11402000', '11189500', '11318500', '11266500', '11202710']",2,24,4,4,8,1,21,14,1,12,GAPTransArchitecture,0.5,,48,2022-11-26 01:07:46,,0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,avg,True,2022-11-26 00:12:07,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]",2022-11-26 01:07:38,2022-11-26 01:03:48,100,2022-11-26 00:58:11,2022-11-26 00:12:19,True,2022-11-26 01:03:48,2022-11-26 01:00:05,m3_per_area_miles,,48,24,"(5, 5)","(1, 1)",24,"(4, 4)","(1, 1)","(2, 2)","(1, 1)","(5, 5)","(1, 1)","(2, 2)","(1, 1)",relu,,,,"(2, 2)",,"(1, 1)",,,,,3.36050025178718,4.116844150754707,4.170340566542633,0.7640680591520083,0.7660261332071463,7.020194006486555,7.020194006486554,0.701969821030683,4.10061056225345,5.356322322218053,3.2291918675435154,4.934459520647209,3.7392084123425278,3.7374642928152264,4.056053500541848,3.7082287822220357,3.3741105626344647,4.560499338586065,4.965118466715882,4.844170535622977,4.085706661710742,3.6847835951781596,0.7798722875489834,0.7673780663997827,0.7672375765002626,0.740708413633591,0.8062847133756891,0.7285950813170191,0.801310870116195,0.7614091669967663,0.7936367905478925,0.7783586432820943,0.7773831760571001,0.7556467687671735,0.737161452554882,23.637065853866382,3.2781862179828507,11.416054820933484,4.559561359588398,5.222155502360988,6.460440276560325,3.7744294022268354,2.5596633781538927,5.661808329528946,6.348191775742958,12.269872436149521,6.254940600105344,2.739735575358384
de36a531-5f4f-4043-92e0-a88ac4e46547,['11266500'],3,8,4,,32,28,28,1,4,12,SpaceTimeTransformerArchitecture,0.5,,24,2022-11-28 04:03:49,,0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,flatten,True,2022-11-28 03:53:26,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]",2022-11-28 04:03:43,2022-11-28 04:03:13,100,2022-11-28 04:02:46,2022-11-28 03:53:46,True,2022-11-28 04:03:13,2022-11-28 04:02:46,m3,False,,,,,8,,,,,,,,,,,,,,,,,,,,14.597319993965796,14.597319993965796,14.597319993965796,0.8302983921389272,0.8302983921389272,1.2732566777327443,1.2732566777327443,0.8302983921389272,1.2732566777327443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4afce817-beb4-4ecc-871e-384718834f3d,['11402000'],1,8,4,4,32,28,28,1,4,12,GAPTransMaxArchitecture,0.5,,24,2022-12-05 02:00:38,,0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,flatten,True,2022-12-05 01:55:38,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]",2022-12-05 02:00:25,2022-12-05 02:00:01,100,2022-12-05 01:59:05,2022-12-05 01:56:29,True,2022-12-05 02:00:01,2022-12-05 01:59:39,m3,False,24,8,"(5, 5)","(1, 1)",8,"(4, 4)","(1, 1)","(2, 2)","(1, 1)","(5, 5)","(1, 1)","(2, 2)","(1, 1)",relu,,,,"(2, 2)",,"(1, 1)",,,10,0.5,8.699815173633544,8.699815173633544,8.699815173633544,0.8824029527451994,0.8824029527451994,5.028184728407288,5.028184728407288,0.8824029527451994,5.028184728407288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87999964-c23c-43f3-a232-115c437fa609,['11402000'],1,8,4,4,32,28,28,1,4,12,GAPTransMaxArchitecture,0.5,,24,2022-12-05 01:48:49,,0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,flatten,True,2022-12-05 01:44:27,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]",2022-12-05 01:48:37,2022-12-05 01:48:16,100,2022-12-05 01:47:36,2022-12-05 01:45:18,True,2022-12-05 01:48:16,2022-12-05 01:47:52,m3,False,24,8,"(5, 5)","(1, 1)",8,"(4, 4)","(1, 1)","(2, 2)","(1, 1)","(5, 5)","(1, 1)","(2, 2)","(1, 1)",relu,,,,"(2, 2)",,"(1, 1)",,,10,0.5,8.651989912535756,8.651989912535756,8.651989912535756,0.8860387386229786,0.8860387386229786,4.896106391635667,4.896106391635667,0.8860387386229786,4.896106391635667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e188908a-fbf8-42b1-9bcb-4423de2a8509,['11266500'],1,8,4,,8,7,7,1,1,12,SpaceTimeTransformerArchitecture,0.5,,24,2022-11-28 03:03:33,,0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,flatten,True,2022-11-28 02:54:37,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]",2022-11-28 03:03:26,2022-11-28 03:02:56,100,2022-11-28 03:02:31,2022-11-28 02:59:22,True,2022-11-28 03:02:56,2022-11-28 03:02:31,m3,False,,,,,8,,,,,,,,,,,,,,,,,,,,8.194776499614804,8.194776499614804,8.194776499614804,0.9094326440554552,0.9094326440554552,0.805281827294549,0.805281827294549,0.9094326440554552,0.805281827294549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f092bd20-ca80-4244-8332-5bc4875cba05,"['11402000', '11189500']",5,24,4,4,8,1,21,14,1,12,,0.5,,48,2022-11-25 22:42:59,,0.0001,mean_squared_error,<class 'keras.optimizers.optimizer_experimental.adam.Adam'>,avg,True,2022-11-25 22:38:22,"[7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84]",2022-11-25 22:42:51,2022-11-25 22:41:08,100,,,True,2022-11-25 22:41:08,2022-11-25 22:39:14,m3_per_area_miles,,48,24,"(5, 5)","(1, 1)",24,"(4, 4)","(1, 1)","(2, 2)","(1, 1)","(5, 5)","(1, 1)","(2, 2)","(1, 1)",relu,,,,"(2, 2)",,"(1, 1)",,,,,7.86771041808033,6.348044261753237,6.529538144071425,1.0315603725781095,0.9718826189468425,27.7429081183953,27.7429081183953,0.94779397673213,58.07073786966917,5.571675402479795,9.041188757524017,5.495218927494939,5.660942287095789,7.5613290026391855,6.105461631866998,7.860706773146511,7.891048551491026,6.268988382944537,5.416903341083797,6.74421718526344,3.824219705343258,3.5630092980916976,0.9605319406022931,0.9545792740189738,0.9808674805515485,0.9787581855238978,0.9584884191379595,0.9659399299813237,0.9509187681420154,0.9545071420961669,0.9623034682872295,0.9814376467294009,0.9648478938314217,1.2431291581439263,1.6377419323152451,7.467583930774434,69.42363801197085,10.278690445436677,26.40097727173952,42.2478562857409,24.938508386993703,54.779410528439634,32.41694899735702,16.50068979197679,9.117073556553185,34.02635172822023,1.6785521856116,1.0536946670505525
