filepath,filename_ext,filename_prefix,subdir,crs,scale,satellite,band,date_str,date,pixel_sum,pixel_mean,pixel_min,pixel_max,gage
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_04_22.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_04_22,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_04_22,2020-04-22,318101.0,96.628494,58.0,276.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_04_30.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_04_30,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_04_30,2020-04-30,404323.0,77.844246,37.0,217.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_05_08.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_05_08,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_05_08,2020-05-08,742772.0,123.98131,77.0,277.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_05_16.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_05_16,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_05_16,2020-05-16,824890.0,150.11647,86.0,207.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_05_24.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_05_24,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_05_24,2020-05-24,731063.0,98.129265,45.0,300.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_06_01.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_06_01,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_06_01,2020-06-01,758003.0,103.39694,64.0,276.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_06_09.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_06_09,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_06_09,2020-06-09,733718.0,93.005196,48.0,376.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_06_17.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_06_17,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_06_17,2020-06-17,558323.0,68.522705,10.0,307.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_06_25.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_06_25,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_06_25,2020-06-25,643064.0,78.3651,19.0,357.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_07_03.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_07_03,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_07_03,2020-07-03,536686.0,65.00557,2.0,362.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_07_11.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_07_11,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_07_11,2020-07-11,566106.0,68.544136,3.0,346.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_07_19.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_07_19,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_07_19,2020-07-19,618376.0,75.200775,12.0,290.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_07_27.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_07_27,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_07_27,2020-07-27,531321.0,64.29344,3.0,378.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_08_04.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_08_04,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_08_04,2020-08-04,535897.0,64.839325,7.0,277.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_08_12.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_08_12,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_08_12,2020-08-12,500420.0,61.856613,9.0,329.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_08_20.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_08_20,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_08_20,2020-08-20,515194.0,62.538723,11.0,309.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_08_28.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_08_28,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_08_28,2020-08-28,449794.0,54.28361,3.0,274.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_09_05.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_09_05,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_09_05,2020-09-05,211922.0,25.582087,2.0,129.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_09_13.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_09_13,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_09_13,2020-09-13,296636.0,36.617207,12.0,177.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_09_21.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_09_21,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_09_21,2020-09-21,373169.0,45.04696,10.0,206.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_09_29.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_09_29,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_09_29,2020-09-29,287543.0,34.748398,2.0,262.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_10_07.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_10_07,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_10_07,2020-10-07,213035.0,26.82047,7.0,157.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_10_15.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_10_15,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_10_15,2020-10-15,248417.0,30.041964,3.0,160.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_10_23.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_10_23,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_10_23,2020-10-23,254399.0,32.75383,18.0,112.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_10_31.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_10_31,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_10_31,2020-10-31,251498.0,31.551624,13.0,133.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_11_08.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_11_08,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_11_08,2020-11-08,300091.0,59.189545,30.0,86.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_11_16.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_11_16,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_11_16,2020-11-16,144951.0,42.64519,30.0,83.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_11_24.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_11_24,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_11_24,2020-11-24,169365.0,33.544266,24.0,83.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_12_02.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_12_02,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_12_02,2020-12-02,134378.0,27.141588,13.0,105.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_12_10.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_12_10,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_12_10,2020-12-10,311606.0,58.73817,33.0,85.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_12_18.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_12_18,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_12_18,2020-12-18,131014.0,33.464622,19.0,66.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_12_26.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_12_26,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_12_26,2020-12-26,110472.0,48.968086,20.0,68.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_01.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_01,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_01_01,2010-01-01,246791.0,63.803257,35.0,88.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_09.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_09,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_01_09,2010-01-09,180925.0,73.81681,36.0,108.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_17.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_17,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_01_17,2010-01-17,0.0,,,,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_25.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_01_25,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_01_25,2010-01-25,168091.0,78.036674,39.0,109.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_02.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_02,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_02_02,2010-02-02,53419.0,73.78315,40.0,101.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_10.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_10,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_02_10,2010-02-10,172067.0,89.66493,42.0,113.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_18.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_18,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_02_18,2010-02-18,161359.0,80.039185,42.0,110.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_26.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_02_26,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_02_26,2010-02-26,22559.0,101.16144,58.0,133.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_03_06.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_03_06,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_03_06,2010-03-06,139705.0,112.483894,60.0,147.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_03_14.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_03_14,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_03_14,2010-03-14,139098.0,84.40413,55.0,137.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_03_22.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_03_22,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_03_22,2010-03-22,234972.0,110.57506,63.0,166.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_03_30.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_03_30,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_03_30,2010-03-30,26394.0,133.97969,87.0,162.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_04_07.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_04_07,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_04_07,2010-04-07,104038.0,142.32285,80.0,191.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_04_15.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_04_15,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_04_15,2010-04-15,71354.0,129.2645,82.0,179.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_04_23.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_04_23,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_04_23,2010-04-23,247364.0,150.73979,89.0,218.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_05_01.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_05_01,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_05_01,2010-05-01,265612.0,138.91841,78.0,221.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_05_09.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_05_09,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_05_09,2010-05-09,256023.0,145.96523,101.0,239.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_05_17.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_05_17,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_05_17,2010-05-17,73463.0,143.20273,93.0,254.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_05_25.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_05_25,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_05_25,2010-05-25,334633.0,146.70451,101.0,226.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_06_02.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_06_02,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_06_02,2010-06-02,732853.0,186.42915,114.0,305.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_06_10.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_06_10,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_06_10,2010-06-10,476952.0,88.75177,40.0,307.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_06_18.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_06_18,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_06_18,2010-06-18,587144.0,90.45509,46.0,305.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_06_26.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_06_26,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_06_26,2010-06-26,632930.0,79.52381,17.0,481.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_07_04.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_07_04,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_07_04,2010-07-04,596302.0,77.00181,14.0,438.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_07_12.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_07_12,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_07_12,2010-07-12,632870.0,79.158226,13.0,387.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_07_20.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_07_20,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_07_20,2010-07-20,622766.0,76.29131,5.0,436.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_07_28.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_07_28,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_07_28,2010-07-28,613738.0,74.78226,3.0,442.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_08_05.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_08_05,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_08_05,2010-08-05,628881.0,76.40396,8.0,340.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_08_13.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_08_13,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_08_13,2010-08-13,574237.0,69.59605,4.0,343.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_08_21.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_08_21,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_08_21,2010-08-21,471083.0,57.295425,5.0,330.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_08_29.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_08_29,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_08_29,2010-08-29,594872.0,72.228264,25.0,291.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_09_06.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_09_06,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_09_06,2010-09-06,568180.0,68.77027,29.0,300.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_09_14.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_09_14,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_09_14,2010-09-14,462401.0,55.919823,11.0,303.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_09_22.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_09_22,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_09_22,2010-09-22,331164.0,40.62365,8.0,255.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_09_30.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_09_30,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_09_30,2010-09-30,412462.0,89.43235,58.0,175.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_10_08.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_10_08,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_10_08,2010-10-08,442220.0,56.10505,24.0,268.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_10_16.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_10_16,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_10_16,2010-10-16,587308.0,85.24064,56.0,161.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_10_24.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_10_24,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_10_24,2010-10-24,361769.0,67.772385,45.0,141.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_11_01.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_11_01,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_11_01,2010-11-01,374269.0,55.071953,37.0,139.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_11_09.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_11_09,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_11_09,2010-11-09,246184.0,57.762554,33.0,115.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_11_17.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_11_17,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_11_17,2010-11-17,175515.0,42.089928,23.0,69.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_11_25.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_11_25,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_11_25,2010-11-25,234172.0,70.76821,37.0,104.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_12_03.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_12_03,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_12_03,2010-12-03,221331.0,67.83052,31.0,94.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_12_11.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_12_11,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_12_11,2010-12-11,146315.0,49.247726,28.0,71.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_12_19.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_12_19,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_12_19,2010-12-19,83337.0,43.954113,22.0,65.0,11266500
11266500/epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_12_27.tif,tif,epsg_4326__463_31__MODIS_006_MOD16A2__ET__2010_12_27,11266500,epsg_4326,463.31,MODIS_006_MOD16A2,ET,2010_12_27,2010-12-27,58070.0,36.407524,16.0,52.0,11266500
