filepath,filename_ext,filename_prefix,subdir,crs,scale,satellite,band,date_str,date,pixel_sum,pixel_mean,pixel_min,pixel_max,gage
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_01_01.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_01_01,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_01_01,2020-01-01,248209.0,84.08164,42.0,119.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_01_09.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_01_09,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_01_09,2020-01-09,220417.0,69.26996,30.0,99.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_01_17.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_01_17,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_01_17,2020-01-17,148764.0,80.67462,45.0,112.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_01_25.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_01_25,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_01_25,2020-01-25,360394.0,80.98742,47.0,109.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_02_02.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_02_02,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_02_02,2020-02-02,244586.0,69.46493,30.0,108.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_02_10.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_02_10,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_02_10,2020-02-10,418428.0,82.90628,37.0,132.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_02_18.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_02_18,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_02_18,2020-02-18,345705.0,84.62791,45.0,131.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_02_26.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_02_26,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_02_26,2020-02-26,314187.0,61.460682,42.0,117.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_03_05.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_03_05,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_03_05,2020-03-05,364193.0,94.252846,49.0,133.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_03_13.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_03_13,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_03_13,2020-03-13,190208.0,97.59261,36.0,141.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_03_21.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_03_21,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_03_21,2020-03-21,25767.0,122.7,46.0,167.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_03_29.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_03_29,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_03_29,2020-03-29,166794.0,144.16077,82.0,189.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_04_06.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_04_06,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_04_06,2020-04-06,173450.0,155.98021,60.0,210.0,11266500
11266500/EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_04_14.tif,tif,EPSG_4326__463_31__MODIS_006_MOD16A2__ET__2020_04_14,11266500,EPSG_4326,463.31,MODIS_006_MOD16A2,ET,2020_04_14,2020-04-14,338235.0,139.88214,86.0,191.0,11266500
